          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   01.01.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |15121     |Скоба антигронова|    117.00|   0.11|   0.17|   0.12|       12.87|       19.89|       14.04|
 |15049     |Сплитер двоен    |      7.00|   0.40|   0.89|   0.60|        2.80|        6.23|        4.20|
 |15050     |Сплитер троен    |     10.00|   0.55|   1.24|   0.84|        5.50|       12.40|        8.40|
 |15094     |Фасунга миньонка |      1.00|   0.74|   1.15|   0.78|        0.74|        1.15|        0.78|
 |15094     |Фасунга миньонка |      3.00|   0.80|   1.15|   0.78|        2.40|        3.45|        2.34|
 |15061     |Фасунга стенна   |     18.00|   1.40|   2.15|   1.46|       25.20|       38.70|       26.28|
 |          |крива порцелан   |          |       |       |       |            |            |            |
 |15057     |Фасунга стенна   |     33.00|   0.45|   1.10|   0.73|       14.85|       36.30|       24.09|
 |          |права            |          |       |       |       |            |            |            |
 |15058     |Фасунга стенна   |     20.00|   1.35|   2.05|   1.43|       27.00|       41.00|       28.60|
 |          |права порцелан   |          |       |       |       |            |            |            |
 |15047     |Шнуров извод     |      1.00|   2.40|   3.98|   2.75|        2.40|        3.98|        2.75|
 |          |акумулираща печка|          |       |       |       |            |            |            |
 |15065     |Щепсел трифазен  |     13.00|   2.90|   4.38|   3.02|       37.70|       56.94|       39.26|
 |          |3х16 А / 380 V   |          |       |       |       |            |            |            |
 |15071     |Щепсел шуко черен|     20.00|   0.50|   0.85|   0.60|       10.00|       17.00|       12.00|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: ЕЛ. МАТЕРИАЛИ      |   1822.00|       |       |       |     1206.32|     2077.08|     1441.99|
 Група стоки  : РЧ БОЙЛЕРИ                    
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |11001     |Аноден протектор |      2.00|   4.90|   5.75|   5.75|        9.80|       11.50|       11.50|
 |11001     |Аноден протектор |      1.00|   4.91|   5.75|   5.75|        4.90|        5.75|        5.75|
 |11002     |Баланс вентил    |      2.00|   3.35|   4.50|   4.50|        6.70|        9.00|        9.00|
 |11010     |Врътка 10л б-р   |     14.00|   0.20|   0.45|   0.30|        2.80|        6.30|        4.20|
 |11010     |Врътка 10л б-р   |      3.00|   0.25|   0.45|   0.30|        0.75|        1.35|        0.90|
 |11008     |Врътка Алфа      |      6.00|   0.65|   0.80|   0.80|        3.90|        4.80|        4.80|
 |          |голяма           |          |       |       |       |            |            |            |
 |11008     |Врътка Алфа      |      1.00|   0.75|   0.80|   0.80|        0.75|        0.80|        0.80|
