                        С П Р А В К А    Т Е К У Щ И    Н А Л И Ч Н О С Т И                         
                                       Към дата : 20.03.2013        

 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : РЧ УРЕДИ ROTEL                
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |Катал. Nо | Артикул                           | Количество |Цена прид.|Прод.ц+ДДС|Прод.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |9673601006|Термостат 95-120 С                 |       10.00|      3.66|      4.90|      6.90|       36.64|       49.00|       69.00|
 |9674113019|Ключ две позиции                   |        1.00|      0.10|      0.00|      3.90|        0.10|        0.00|        3.90|
 |9690501005|Регулатор за помпа                 |        1.00|      1.95|      0.00|      8.60|        1.95|        0.00|        8.60|
 |9690501013|Ел. платка                         |        1.00|      0.60|      0.00|     16.90|        0.60|        0.00|       16.90|
 |9694000016|Ел. платка                         |        2.00|      0.21|      1.50|      2.90|        0.42|        3.00|        5.80|
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |Общо за: РЧ УРЕДИ ROTEL                       |     1135.00|          |          |          |     1582.87|     1984.25|     4164.98|
 
 Група стоки  : УРЕДИ ROTEL                   
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |Катал. Nо | Артикул                           | Количество |Цена прид.|Прод.ц+ДДС|Прод.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |U 12.3    |Партигрил с метална плоча          |        1.00|     52.23|     62.00|     74.90|       52.23|       62.00|       74.90|
 |U 12.5    |Партигрил с каменна плоча          |        1.00|     72.39|     83.25|     99.90|       72.39|       83.25|       99.90|
 |U 12.5    |Партигрил с каменна плоча          |        1.00|     72.38|     83.25|     99.90|       72.38|       83.25|       99.90|
 |U 13.4    |Уред за хамбургери                 |        3.00|     53.24|     54.00|     64.90|      159.72|      162.00|      194.70|
 |U 13.4    |Уред за хамбургери                 |        9.00|     53.24|     54.00|     64.90|      479.13|      486.00|      584.10|
 |U 14.5    |Уред за вакуумиране                |        4.00|     71.98|     72.40|     86.90|      287.92|      289.60|      347.60|
 |U 14.6    |Уред за вакуумиране                |        6.00|     35.51|     41.55|     49.90|      213.06|      249.30|      299.40|
